"Name";"global_id";"Razdel";"Kod";"Nomdescr";"Idx";
"Машины блокозаклеечные";"273512608";"C";"28.99.11.132";"";"C.28.99.11.132";
"Машины резальные трехножевые";"273512610";"C";"28.99.11.133";"";"C.28.99.11.133";
"Оборудование для обработки корешков книжных блоков";"273512612";"C";"28.99.11.134";"";"C.28.99.11.134";
"Машины оклеечно-каптальные";"273512613";"C";"28.99.11.135";"";"C.28.99.11.135";
"Агрегаты блокообрабатывающие";"273512615";"C";"28.99.11.136";"";"C.28.99.11.136";
"Оборудование для изготовления и отделки переплетных крышек";"273512617";"C";"28.99.11.140";"";"C.28.99.11.140";
"Оборудование для изготовления составных частей переплетных крышек";"273512619";"C";"28.99.11.141";"";"C.28.99.11.141";
"Машины клеемазальные";"273512621";"C";"28.99.11.142";"";"C.28.99.11.142";
"Машины крышкоделательные";"273512622";"C";"28.99.11.143";"";"C.28.99.11.143";
"Прессы для тиснения и печати на переплетных крышках";"273512624";"C";"28.99.11.144";"";"C.28.99.11.144";
"Оборудование для обработки переплетных крышек вспомогательное";"273512625";"C";"28.99.11.145";"";"C.28.99.11.145";
"Машины для припрессовки пленки";"273512627";"C";"28.99.11.146";"";"C.28.99.11.146";
"Оборудование для вставки и отделки книг и крытья брошюр";"273512629";"C";"28.99.11.150";"";"C.28.99.11.150";
"Машины книговставочные";"273512630";"C";"28.99.11.151";"";"C.28.99.11.151";
"Прессы переплетно-обжимные";"273512632";"C";"28.99.11.152";"";"C.28.99.11.152";
"Машины штриховальные";"273512633";"C";"28.99.11.153";"";"C.28.99.11.153";
"Машины для крытья брошюр мягкой обложкой";"273512635";"C";"28.99.11.154";"";"C.28.99.11.154";
"Линии поточные брошюровочно-переплетные";"273512637";"C";"28.99.11.160";"";"C.28.99.11.160";
"Оборудование брошюровочно-переплетное специальное";"273512639";"C";"28.99.11.190";"";"C.28.99.11.190";
"Оборудование, аппаратура и оснастка для набора, подготовки или изготовления печатных форм, пластин";"273512641";"C";"28.99.12";"";"C.28.99.12";
"Оборудование наборное";"273512642";"C";"28.99.12.110";"";"C.28.99.12.110";
"Машины фотонаборные";"273512643";"C";"28.99.12.111";"";"C.28.99.12.111";
